Brand,source_domain,cross_domain,cross_http_status,cross_canonical,cross_hreflang_alternates
1win,1win-colombia.org,riverhome.co,200,https://riverhome.co/es-co/,es:https://riverhome.co/es-co/ | es-CO:https://1win-colombia.org/es-co/
1win,colombia-1win.it.com,telebucaramanga.com.co,200,https://telebucaramanga.com.co/es/,es:https://telebucaramanga.com.co/es/ | es-CO:https://colombia-1win.it.com/es/
mrbet,mr.bet,4mrbet.global,200,https://4mrbet.global/es-co,
Pin-Up,pin-ups.com.co,pin-up.ar,200,,
Pin-Up,pin-ups.com.co,pin-ups.pe,200,https://pin-up.pin-ups.pe/,x-default:https://pin-ups.pe/ | es:https://pin-up.pin-ups.pe/ | es-PE:https://pin-up.pin-ups.pe/ | es-CO:https://pin-ups.com.co/ | es-AR:https://pin-up.ar/ | es-VE:https://pinup.com.ve/ | es-CL:https://pinups.cl/ | es-PE:https://pin-ups.pe/
Pin-Up,pin-ups.com.co,pinup.com.ve,200,https://pinup.com.ve/es/,es:https://pinup.com.ve/ | es-VE:https://pinup.com.ve/es/ | es-CO:https://pin-ups.com.co/ | es-AR:https://pin-up.ar/ | es-VE:https://pinup.com.ve/ | es-CL:https://pinups.cl/ | es-PE:https://pin-ups.pe/
Pin-Up,pin-ups.com.co,pinups.cl,200,https://pin-up.pinups.cl/,x-default:https://pinups.cl/ | es:https://pin-up.pinups.cl/ | es-CL:https://pin-up.pinups.cl/
verde,verdecasino.com,26verdecasino7.com,200,https://26verdecasino7.com/bg-bg,x-default:https://verdecasino.com/en | en:https://verdecasino.com/en | fi:https://verdecasino.com/fi | pt-br:https://verdecasino.com/pt-br | ja:https://verdecasino.com/ja | en-ca:https://verdecasino.com/en-ca | hu:https://verdecasino.com/hu | fr-ca:https://verdecasino.com/fr-ca | es-cl:https://verdecasino.com/es-cl | es-pe:https://verdecasino.com/es-pe | th:https://verdecasino.com/th | es:https://verdecasino.com/es | fr-be:https://verdecasino.com/fr-be | pt:https://verdecasino.com/pt-pt | it-it:https://85verdecasino.com/it-it | it:https://85verdecasino.com/it-it | vi-vn:https://verdecasino.com/vi | da-dk:https://verdecasino.com/en | pl:https://verdecasino.com/pl | de:https://verdecasino.com/de | el:https://verdecasino.com/el-gr | bg:https://26verdecasino7.com/bg-bg | ro-ro:https://verdecasino.com/ro
verde,verdecasino.com,85verdecasino.com,200,https://85verdecasino.com/it-it,x-default:https://verdecasino.com/en | en:https://verdecasino.com/en | fi:https://verdecasino.com/fi | pt-br:https://verdecasino.com/pt-br | ja:https://verdecasino.com/ja | en-ca:https://verdecasino.com/en-ca | hu:https://verdecasino.com/hu | fr-ca:https://verdecasino.com/fr-ca | es-cl:https://verdecasino.com/es-cl | es-pe:https://verdecasino.com/es-pe | th:https://verdecasino.com/th | es:https://verdecasino.com/es | fr-be:https://verdecasino.com/fr-be | pt:https://verdecasino.com/pt-pt | it-it:https://85verdecasino.com/it-it | it:https://85verdecasino.com/it-it | vi-vn:https://verdecasino.com/vi | da-dk:https://verdecasino.com/en | pl:https://verdecasino.com/pl | de:https://verdecasino.com/de | el:https://verdecasino.com/el-gr | bg:https://26verdecasino7.com/bg-bg | ro-ro:https://verdecasino.com/ro
