Brand name,domain,is_live(>=50traf),keyword,kw_volume,position,traffic_on_kw,KD,url
KTO,kto.jogo.com.br,yes,kto | apostas esportivas e cassino online,0,6,5853,65,https://kto.jogo.com.br/
Vai de Bet,vaidebet-brazil.com,no,vai de bet cadastro,300,7,14,23,https://vaidebet-brazil.com/registro/
Vai de Bet,vaidebetpt.com,yes,vai de bet bonus cassino,0,11,0,44,https://vaidebetpt.com/bonus-vai-de-bet/
