new_parasite_domain,brand(s),traffic
rivaloco.com,rivalo,992
rushbet-colombia.softonic.com,rushbet,764
wplays.co,wplay,385
codereonline.com,codere,162
wplay-co.softonic.com,wplay,114
rivalo-quiz.uptodown.com,rivalo,86
wplaycasinos.co,wplay,7
wplaysports.com,wplay,6
